ELECTIONABBR	PRECINCTID	PRECINCTPORTION	VOTINGPRECINCT	MAILBALLOT	ABSENTEEPRECINCT	BALLOTTYPE
2025Nov   	51023  		1504    1504 - Hanford 1	0	8001504	1
2025Nov   	51024  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	51025  		1504    1504 - Hanford 1	0	8001504	1
2025Nov   	51026  		1504    1504 - Hanford 1	0	8001504	1
2025Nov   	51027  		1504    1504 - Hanford 1	0	8001504	1
2025Nov   	51028  		1504    1504 - Hanford 1	0	8001504	1
2025Nov   	51029  		1504    1504 - Hanford 1	0	8001504	1
2025Nov   	51030  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	51031  		1506    1506 - Hanford 1	0	8001506	1
2025Nov   	51032  		1506    1506 - Hanford 1	0	8001506	1
2025Nov   	51033  		1504    1504 - Hanford 1	0	8001504	1
2025Nov   	51034  		1504    1504 - Hanford 1	0	8001504	1
2025Nov   	51035  		1504    1504 - Hanford 1	0	8001504	1
2025Nov   	51036  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	51037  		1506    1506 - Hanford 1	0	8001506	1
2025Nov   	51038  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	51039  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	51040  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	51041  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	51042  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	51043  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	51044  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	51045  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	51046  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	51047  		1508    1508 - Hanford 1	0	8001508	1
2025Nov   	51049  		1505    1505 - Hanford 1	0	8001505	1
2025Nov   	51050  		1505    1505 - Hanford 1	0	8001505	1
2025Nov   	51051  		1505    1505 - Hanford 1	0	8001505	1
2025Nov   	51052  		1508    1508 - Hanford 1	0	8001508	1
2025Nov   	51053  		1505    1505 - Hanford 1	0	8001505	1
2025Nov   	51054  		1508    1508 - Hanford 1	0	8001508	1
2025Nov   	51055  		1508    1508 - Hanford 1	0	8001508	1
2025Nov   	51056  		1508    1508 - Hanford 1	0	8001508	1
2025Nov   	51057  		1507    1507 - Hanford 1	0	8001507	1
