OFFICIAL ELECTION RESULTS
Imperial
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"584005MB","PROPOSITION 50","YES","5","36.07%"
"584006MB","PROPOSITION 50","YES","0","0.00%"
"584006MB","PROPOSITION 50","NO","0","0.00%"
"584007MB","PROPOSITION 50","YES","0","0.00%"
"584007MB","PROPOSITION 50","NO","0","0.00%"
"584008MB","PROPOSITION 50","YES","2","66.67%"
"584008MB","PROPOSITION 50","NO","2","66.67%"
"584009MB","PROPOSITION 50","NO","3","50.00%"
"584009MB","PROPOSITION 50","YES","0","50.00%"
"584014MB","PROPOSITION 50","YES","0","0.00%"
"584014MB","PROPOSITION 50","NO","0","0.00%"
"584017MB","PROPOSITION 50","NO","35","60.56%"
"584017MB","PROPOSITION 50","YES","8","60.56%"
"584018MB","PROPOSITION 50","YES","0","0.00%"
"584018MB","PROPOSITION 50","NO","0","0.00%"
"584020MB","PROPOSITION 50","NO","158","45.11%"
"584020MB","PROPOSITION 50","YES","82","45.11%"
"584021MB","PROPOSITION 50","NO","222","55.30%"
"584021MB","PROPOSITION 50","YES","65","55.30%"
"584026MB","PROPOSITION 50","YES","0","0.00%"
"584026MB","PROPOSITION 50","NO","0","0.00%"
"584027MB","PROPOSITION 50","NO","4","80.00%"
"584027MB","PROPOSITION 50","YES","0","80.00%"
"584033MB","PROPOSITION 50","YES","0","0.00%"
"584033MB","PROPOSITION 50","NO","0","0.00%"
"584051MB","PROPOSITION 50","NO","41","45.19%"
"584051MB","PROPOSITION 50","YES","20","45.19%"
"584052MB","PROPOSITION 50","NO","5","57.14%"
"584052MB","PROPOSITION 50","YES","3","57.14%"
"584055MB","PROPOSITION 50","YES","0","0.00%"
"584055MB","PROPOSITION 50","NO","0","0.00%"
"585011MB","PROPOSITION 50","YES","0","0.00%"
"585011MB","PROPOSITION 50","NO","0","0.00%"
"585016MB","PROPOSITION 50","YES","18","30.84%"
"585016MB","PROPOSITION 50","NO","15","30.84%"
"585017MB","PROPOSITION 50","NO","9","69.23%"
"585017MB","PROPOSITION 50","YES","0","69.23%"
"585019MB","PROPOSITION 50","YES","0","0.00%"
"585019MB","PROPOSITION 50","NO","0","0.00%"
"585047MB","PROPOSITION 50","NO","4","77.78%"
"585047MB","PROPOSITION 50","YES","3","77.78%"
"585049MB","PROPOSITION 50","YES","33","36.00%"
"585049MB","PROPOSITION 50","NO","21","36.00%"
"585050MB","PROPOSITION 50","YES","2","40.00%"
"585050MB","PROPOSITION 50","NO","0","40.00%"
"585051MB","PROPOSITION 50","YES","0","0.00%"
"585051MB","PROPOSITION 50","NO","0","0.00%"
"585229MB","PROPOSITION 50","YES","10","27.78%"
"585229MB","PROPOSITION 50","NO","0","27.78%"
"585272MB","PROPOSITION 50","NO","6","37.93%"
"585272MB","PROPOSITION 50","YES","4","37.93%"
"586005MB","PROPOSITION 50","YES","18","31.30%"
"586005MB","PROPOSITION 50","NO","18","31.30%"
"586007MB","PROPOSITION 50","YES","2","7.14%"
"586007MB","PROPOSITION 50","NO","0","7.14%"
"586008","PROPOSITION 50","YES","45","19.41%"
